feature,mean_shap,mean_abs_shap
z_wdi_external_debt_stocks_pct_gni_lag6,-0.02326708,0.02326708
z_vdem_participatory_democracy_index_lag6,0.022561684,0.022561684
z_wdi_gdp_per_capita_current_usd_lag6,0.022093652,0.022093652
z_vdem_egalitarian_democracy_index_lag6,0.018909574,0.021522045
z_acled_political_violence_events_delta3m,-0.004231496,0.021170743
z_vdem_electoral_democracy_index_lag12,0.01974138,0.01974138
z_vdem_deliberative_democracy_index_roll12m,0.019418515,0.019418515
z_log_wdi_forcibly_displaced_people,0.018650398,0.018650398
z_log_acled_admin1_count_lag6,-0.012692891,0.018207142
z_wdi_international_migrant_stock_pct_population_roll6m,-0.012751053,0.018083073
z_wdi_fuel_exports_pct_merchandise_exports_roll12m,-0.018059134,0.018059134
z_ucdp_conflict_count_roll6m,-0.015541232,0.016690336
z_vdem_egalitarian_democracy_index,0.016573282,0.016573282
z_sipri_milex_share_of_gdp_pct_roll6m,-0.016557857,0.016557857
z_acled_protests_events_delta6m,-0.00042751897,0.016425686
z_ucdp_max_intensity_level_roll12m,0.016313948,0.016313948
z_acled_explosions_remote_violence_events_roll12m,-0.011572,0.015959306
z_acled_political_violence_events_delta6m,-0.009599252,0.015592258
z_months_since_conflict,-0.015352147,0.015352147
z_acled_riots_fatalities_lag1,-0.012556247,0.015332622
z_acled_political_violence_events_lag1,0.015223957,0.015223957
z_wdi_forcibly_displaced_people_lag1,0.015035833,0.015035833
z_log_acled_riots_events_roll3m,0.014918811,0.014918811
z_wdi_forcibly_displaced_people_lag12,0.014855431,0.014855431
is_missing_sipri,0.014650824,0.014650824
z_acled_population_exposure_sum_roll6m,-0.006312698,0.014608949
z_vdem_electoral_democracy_index,0.0139144575,0.0139144575
z_vdem_liberal_democracy_index_roll3m,0.013810133,0.013810133
z_wdi_employment_to_population_ratio_15plus_total_pct_lag3,0.0020842934,0.01361612
z_wdi_forcibly_displaced_people_delta12m,-0.013593838,0.013593838
z_acled_population_exposure_sum_lag1,0.013420572,0.013420572
z_log_wdi_gdp_per_capita_current_usd_lag12,0.012685686,0.012685686
z_acled_admin1_count_roll3m,-0.012679858,0.012679858
z_wdi_gdp_growth_annual_pct,-0.012575154,0.012575154
z_wdi_fuel_imports_pct_merchandise_imports_roll12m,0.012141939,0.012141939
z_vdem_liberal_democracy_index_lag12,0.011977881,0.011977881
z_log_acled_violence_against_civilians_events_roll12m,0.01190547,0.01190547
z_wdi_gdp_growth_annual_pct_lag1,-0.011421301,0.011421301
z_sipri_milex_constant_2023_usd_millions_lag3,-0.011366859,0.011366859
z_sipri_milex_constant_2023_usd_millions_delta12m,-0.011206064,0.011206064
z_sipri_milex_per_capita_constant_2023_usd_roll3m,0.01111562,0.01111562
z_wdi_commercial_service_imports_current_usd_delta12m,0.010921284,0.010921284
z_log_wdi_external_debt_stocks_pct_gni,0.010894317,0.010894317
z_wdi_external_debt_stocks_pct_gni,0.010863549,0.010863549
z_acled_violence_against_civilians_fatalities_roll3m,0.01073828,0.01073828
z_wdi_commercial_service_exports_current_usd_delta12m,0.010691881,0.010691881
z_sipri_milex_constant_2023_usd_millions_roll3m,0.010493815,0.010493815
z_sipri_milex_constant_2023_usd_millions_roll12m,-0.0098889815,0.0098889815
z_wdi_employment_to_population_ratio_15plus_total_pct_lag1,0.009167844,0.009167844
z_acled_political_violence_fatalities_delta3m,-0.008605186,0.008925616
z_acled_battles_events_delta3m,-0.007660422,0.008711325
z_acled_political_violence_fatalities_lag1,-0.005497366,0.008432412
z_log_wdi_military_expenditure_pct_of_gdp,0.0067331903,0.008346115
z_acled_violence_against_civilians_events_delta6m,-0.0025854222,0.008323281
z_log_acled_total_events_roll6m,-0.008297206,0.008297206
z_vdem_participatory_democracy_index_roll6m,0.007975631,0.007975631
z_acled_political_violence_fatalities_delta6m,-0.0073918733,0.007938136
z_acled_total_events_roll12m,-0.007874192,0.007874192
z_sipri_milex_per_capita_constant_2023_usd_lag3,0.0073287254,0.0073287254
z_wdi_government_expense_pct_gdp,-0.0071165827,0.0071165827
z_wdi_external_debt_stocks_pct_gni_roll3m,-0.007044326,0.007044326
z_sipri_milex_share_of_gdp_pct_delta12m,-0.006625431,0.006625431
z_wdi_fuel_imports_pct_merchandise_imports_roll3m,0.0065487586,0.0065487586
z_log_wdi_commercial_service_exports_current_usd_lag3,-0.006501417,0.006501417
z_vdem_liberal_democracy_index_lag6,0.0064963466,0.0064963466
z_acled_total_fatalities_lag6,-0.0037096823,0.0063711014
z_wdi_fuel_imports_pct_merchandise_imports_lag12,0.0060608084,0.0060608084
z_acled_violence_against_civilians_fatalities_roll12m,0.00598552,0.00598552
z_acled_battles_fatalities_roll12m,0.005800428,0.005800428
z_sipri_milex_share_of_gdp_pct_lag3,-0.0054524806,0.0054524806
z_wdi_employment_to_population_ratio_15plus_total_pct_lag12,0.0052640093,0.0052640093
z_wdi_fuel_exports_pct_merchandise_exports_delta12m,0.0052439086,0.0052439086
z_acled_total_events_lag6,0.005182308,0.005182308
z_log_wdi_employment_to_population_ratio_15plus_total_pct_roll6m,0.005158322,0.005158322
z_wdi_external_debt_stocks_pct_gni_delta12m,-0.005016009,0.005135815
z_sipri_milex_per_capita_constant_2023_usd_roll6m,-0.0049412567,0.0049412567
z_acled_explosions_remote_violence_fatalities_delta3m,0.00096841966,0.004878964
z_wdi_fuel_exports_pct_merchandise_exports_roll6m,-0.0048531443,0.0048531443
z_log_acled_population_exposure_sum_roll3m,0.0020226543,0.004809484
